epoch=0 train_loss=-0.001742 validation_loss=-0.007497 validation_return=0.007515 IR=0.3070 Sharpe=4.8730 MDD=0.9367 selected_factors=2.29 selected_stocks=484.69
epoch=1 train_loss=-0.003015 validation_loss=-0.008206 validation_return=0.008258 IR=0.3552 Sharpe=5.6388 MDD=0.8825 selected_factors=5.55 selected_stocks=381.99
epoch=2 train_loss=-0.004044 validation_loss=-0.008110 validation_return=0.008138 IR=0.3510 Sharpe=5.5717 MDD=0.8779 selected_factors=8.29 selected_stocks=222.69
epoch=3 train_loss=-0.004271 validation_loss=-0.008081 validation_return=0.008100 IR=0.3493 Sharpe=5.5451 MDD=0.8784 selected_factors=8.95 selected_stocks=203.96
epoch=4 train_loss=-0.004352 validation_loss=-0.007966 validation_return=0.007983 IR=0.3468 Sharpe=5.5060 MDD=0.8790 selected_factors=8.88 selected_stocks=202.38
epoch=5 train_loss=-0.004515 validation_loss=-0.007907 validation_return=0.007920 IR=0.3456 Sharpe=5.4856 MDD=0.8794 selected_factors=8.93 selected_stocks=201.48
epoch=6 train_loss=-0.004618 validation_loss=-0.007817 validation_return=0.007827 IR=0.3416 Sharpe=5.4232 MDD=0.8799 selected_factors=9.09 selected_stocks=200.58
epoch=7 train_loss=-0.004606 validation_loss=-0.007871 validation_return=0.007881 IR=0.3436 Sharpe=5.4544 MDD=0.8788 selected_factors=9.17 selected_stocks=200.47
epoch=8 train_loss=-0.004737 validation_loss=-0.008102 validation_return=0.008110 IR=0.3511 Sharpe=5.5733 MDD=0.8711 selected_factors=9.00 selected_stocks=200.36
epoch=9 train_loss=-0.004586 validation_loss=-0.007699 validation_return=0.007706 IR=0.3356 Sharpe=5.3271 MDD=0.8796 selected_factors=9.30 selected_stocks=200.15
epoch=10 train_loss=-0.004719 validation_loss=-0.008092 validation_return=0.008098 IR=0.3509 Sharpe=5.5703 MDD=0.8734 selected_factors=9.49 selected_stocks=200.18
epoch=11 train_loss=-0.004672 validation_loss=-0.007994 validation_return=0.008000 IR=0.3469 Sharpe=5.5074 MDD=0.8742 selected_factors=9.08 selected_stocks=200.30
epoch=12 train_loss=-0.004765 validation_loss=-0.008125 validation_return=0.008131 IR=0.3544 Sharpe=5.6252 MDD=0.8691 selected_factors=9.16 selected_stocks=200.29
epoch=13 train_loss=-0.004821 validation_loss=-0.008334 validation_return=0.008339 IR=0.3581 Sharpe=5.6841 MDD=0.8759 selected_factors=9.92 selected_stocks=200.33
epoch=14 train_loss=-0.004974 validation_loss=-0.007313 validation_return=0.007320 IR=0.3012 Sharpe=4.7815 MDD=0.9171 selected_factors=10.92 selected_stocks=200.76
epoch=15 train_loss=-0.005041 validation_loss=-0.007595 validation_return=0.007600 IR=0.3096 Sharpe=4.9152 MDD=0.9152 selected_factors=11.55 selected_stocks=200.73
epoch=16 train_loss=-0.004946 validation_loss=-0.008187 validation_return=0.008189 IR=0.3154 Sharpe=5.0072 MDD=0.9338 selected_factors=10.59 selected_stocks=200.79
epoch=17 train_loss=-0.003922 validation_loss=-0.007492 validation_return=0.007505 IR=0.3277 Sharpe=5.2023 MDD=0.8666 selected_factors=11.47 selected_stocks=200.61
epoch=18 train_loss=-0.004444 validation_loss=-0.007727 validation_return=0.007735 IR=0.3293 Sharpe=5.2280 MDD=0.8816 selected_factors=13.28 selected_stocks=200.34
epoch=19 train_loss=-0.004583 validation_loss=-0.007620 validation_return=0.007628 IR=0.3313 Sharpe=5.2595 MDD=0.8783 selected_factors=13.79 selected_stocks=200.12
epoch=20 train_loss=-0.004804 validation_loss=-0.007592 validation_return=0.007600 IR=0.3325 Sharpe=5.2782 MDD=0.8772 selected_factors=14.07 selected_stocks=200.12
epoch=21 train_loss=-0.004903 validation_loss=-0.007566 validation_return=0.007570 IR=0.3312 Sharpe=5.2574 MDD=0.8803 selected_factors=14.30 selected_stocks=200.13
epoch=22 train_loss=-0.005045 validation_loss=-0.007844 validation_return=0.007846 IR=0.3292 Sharpe=5.2262 MDD=0.9208 selected_factors=14.40 selected_stocks=200.37
epoch=23 train_loss=-0.005474 validation_loss=-0.007395 validation_return=0.007451 IR=0.3085 Sharpe=4.8974 MDD=0.8848 selected_factors=15.29 selected_stocks=200.85
epoch=24 train_loss=-0.004112 validation_loss=-0.007938 validation_return=0.007952 IR=0.3447 Sharpe=5.4721 MDD=0.8572 selected_factors=17.28 selected_stocks=200.46
epoch=25 train_loss=-0.004571 validation_loss=-0.008251 validation_return=0.008260 IR=0.3528 Sharpe=5.6008 MDD=0.8774 selected_factors=17.38 selected_stocks=200.20
epoch=26 train_loss=-0.004760 validation_loss=-0.007859 validation_return=0.007863 IR=0.3443 Sharpe=5.4660 MDD=0.8617 selected_factors=17.80 selected_stocks=200.14
epoch=27 train_loss=-0.005007 validation_loss=-0.006918 validation_return=0.006935 IR=0.3087 Sharpe=4.9007 MDD=0.8828 selected_factors=18.26 selected_stocks=200.53
epoch=28 train_loss=-0.004456 validation_loss=-0.008221 validation_return=0.008246 IR=0.3499 Sharpe=5.5551 MDD=0.8250 selected_factors=18.99 selected_stocks=200.96
epoch=29 train_loss=-0.004507 validation_loss=-0.008371 validation_return=0.008392 IR=0.3573 Sharpe=5.6714 MDD=0.8328 selected_factors=20.45 selected_stocks=200.00
epoch=30 train_loss=-0.004654 validation_loss=-0.008317 validation_return=0.008335 IR=0.3473 Sharpe=5.5133 MDD=0.9237 selected_factors=20.29 selected_stocks=200.06
epoch=31 train_loss=-0.003585 validation_loss=-0.008238 validation_return=0.008275 IR=0.3500 Sharpe=5.5556 MDD=0.7959 selected_factors=20.74 selected_stocks=200.20
epoch=32 train_loss=-0.003851 validation_loss=-0.008164 validation_return=0.008198 IR=0.3476 Sharpe=5.5175 MDD=0.8063 selected_factors=21.32 selected_stocks=200.00
epoch=33 train_loss=-0.003931 validation_loss=-0.008053 validation_return=0.008087 IR=0.3424 Sharpe=5.4354 MDD=0.8108 selected_factors=21.20 selected_stocks=200.00
{"run_id": "theta_0p005", "theta": 0.005, "gamma_p": 0.5, "gamma_p_mode": "inverse_n", "lambda_s": 0.0, "seed": 42, "initial_state_sha256": "5161a1999abd07ec1bb35d0a50740621fe212fa17b6de8e9f99473617ad46e4a", "best_epoch": 13, "best_validation_ir": 0.35806339979171753, "epochs_completed": 34, "stopped_early": true, "oos_evaluated": false}
