run_id,theta,gamma_p,gamma_p_mode,lambda_s,seed,initial_state_sha256,best_epoch,best_validation_ir,epochs_completed,stopped_early,oos_evaluated,families,total_loss,portfolio_loss,portfolio_return_loss,upper_bound_loss,stability_loss,factor_return_loss,attention_estimate_loss,weighted_upper_bound_loss,weighted_stability_loss,weighted_factor_return_loss,weighted_attention_estimate_loss
theta_0p02,0.02,0.5,inverse_n,0.0,42,5161a1999abd07ec1bb35d0a50740621fe212fa17b6de8e9f99473617ad46e4a,0,0.30885568261146545,21,True,False,theta,-0.007503444253730132,-0.007529569810648938,-0.007529569810648938,0.0,0.04729963712093541,-4.6032051365234476e-05,0.0003072877472993237,0.0,0.0,-4.603205136523448e-06,3.0728774729932375e-05
theta_0p015,0.015,0.5,inverse_n,0.0,42,5161a1999abd07ec1bb35d0a50740621fe212fa17b6de8e9f99473617ad46e4a,63,0.45921316742897034,84,True,False,theta,-0.01378580048312788,-0.013850259857728342,-0.013850259857728342,0.0,0.1447134516097505,9.564696544898264e-06,0.0006350295970815698,0.0,0.0,9.564696544898266e-07,6.350295970815698e-05
theta_0p01,0.01,0.5,inverse_n,0.0,42,5161a1999abd07ec1bb35d0a50740621fe212fa17b6de8e9f99473617ad46e4a,0,0.31114086508750916,21,True,False,theta,-0.007564093846610576,-0.007582847555188854,-0.007582847555188854,0.0,-0.07355748591401652,-4.6256548023444386e-05,0.00023379367811452898,0.0,-0.0,-4.625654802344439e-06,2.33793678114529e-05
theta_0p005,0.005,0.5,inverse_n,0.0,42,5161a1999abd07ec1bb35d0a50740621fe212fa17b6de8e9f99473617ad46e4a,13,0.35806339979171753,34,True,False,theta,-0.008333637111824457,-0.008339110770233544,-0.008339110770233544,0.0,0.02132186547523122,-3.252756347145777e-05,8.726425901824825e-05,0.0,0.0,-3.252756347145777e-06,8.726425901824825e-06
