epoch=36 train_loss=-0.010674 validation_loss=-0.010594 validation_return=0.010632 IR=0.3837 Sharpe=6.0917 MDD=0.6948 selected_factors=22.60 selected_stocks=67.00
epoch=37 train_loss=-0.010724 validation_loss=-0.010023 validation_return=0.010068 IR=0.3592 Sharpe=5.7028 MDD=0.7307 selected_factors=22.54 selected_stocks=67.00
epoch=38 train_loss=-0.010770 validation_loss=-0.010077 validation_return=0.010131 IR=0.3652 Sharpe=5.7973 MDD=0.7279 selected_factors=22.37 selected_stocks=67.00
epoch=39 train_loss=-0.010635 validation_loss=-0.010878 validation_return=0.010905 IR=0.3955 Sharpe=6.2780 MDD=0.6524 selected_factors=22.53 selected_stocks=67.00
epoch=40 train_loss=-0.010621 validation_loss=-0.010011 validation_return=0.010046 IR=0.3621 Sharpe=5.7476 MDD=0.6817 selected_factors=22.22 selected_stocks=67.00
epoch=41 train_loss=-0.010994 validation_loss=-0.010325 validation_return=0.010357 IR=0.3724 Sharpe=5.9109 MDD=0.6630 selected_factors=22.48 selected_stocks=67.00
epoch=42 train_loss=-0.010836 validation_loss=-0.010121 validation_return=0.010147 IR=0.3692 Sharpe=5.8613 MDD=0.7741 selected_factors=22.57 selected_stocks=67.00
epoch=43 train_loss=-0.010963 validation_loss=-0.010727 validation_return=0.010752 IR=0.3822 Sharpe=6.0676 MDD=0.7240 selected_factors=22.41 selected_stocks=67.00
epoch=44 train_loss=-0.010856 validation_loss=-0.010736 validation_return=0.010764 IR=0.3815 Sharpe=6.0569 MDD=0.7196 selected_factors=22.67 selected_stocks=67.00
epoch=45 train_loss=-0.011084 validation_loss=-0.011706 validation_return=0.011742 IR=0.4079 Sharpe=6.4753 MDD=0.7265 selected_factors=23.02 selected_stocks=67.00
epoch=46 train_loss=-0.011093 validation_loss=-0.011340 validation_return=0.011356 IR=0.3984 Sharpe=6.3239 MDD=0.8069 selected_factors=22.97 selected_stocks=67.00
epoch=47 train_loss=-0.010779 validation_loss=-0.011756 validation_return=0.011768 IR=0.4121 Sharpe=6.5423 MDD=0.7578 selected_factors=23.87 selected_stocks=67.00
epoch=48 train_loss=-0.011272 validation_loss=-0.011201 validation_return=0.011209 IR=0.3913 Sharpe=6.2121 MDD=0.8390 selected_factors=23.66 selected_stocks=67.01
epoch=49 train_loss=-0.011484 validation_loss=-0.012319 validation_return=0.012330 IR=0.4319 Sharpe=6.8559 MDD=0.7230 selected_factors=24.04 selected_stocks=67.00
epoch=50 train_loss=-0.011833 validation_loss=-0.013026 validation_return=0.013036 IR=0.4446 Sharpe=7.0574 MDD=0.7930 selected_factors=24.01 selected_stocks=67.00
epoch=51 train_loss=-0.011763 validation_loss=-0.012679 validation_return=0.012688 IR=0.4392 Sharpe=6.9721 MDD=0.7612 selected_factors=23.99 selected_stocks=67.00
epoch=52 train_loss=-0.012122 validation_loss=-0.012056 validation_return=0.012066 IR=0.4174 Sharpe=6.6262 MDD=0.8457 selected_factors=24.12 selected_stocks=67.00
