period,effect,after,before,delta_rankic,delta_annual_return_0p0bps,delta_annual_return_7p5bps,delta_sharpe_7p5bps,delta_mdd_7p5bps,delta_turnover_mean,delta_transaction_cost_drag_annual,delta_effective_n,delta_max_weight_mean,delta_max_weight_absolute,delta_annual_excess_return,delta_tracking_error,delta_information_ratio,delta_active_mdd
stitched,allocator_effect_on_factor_mean,FM-Softmax,FM-Top20,0.0,-0.0035455287254619883,0.014765568249200278,0.08255841420361604,-0.02262413077358616,-0.046798579999237894,-0.018311096974662266,219.35462974548096,-0.0029336007297599493,-0.005389748665577105,0.014765568249200278,-0.03106959027933852,0.19912115750919734,-0.08000210727851753
stitched,scorer_effect_under_top20,MLP-Top20,FM-Top20,-0.022589089873504713,-0.00667136718305561,-0.027262406419397478,-0.14496299680049032,0.07119338408042408,0.05470770788985893,0.020591039236341868,0.0,0.0,0.0,-0.027262406419397478,-0.03763846411108143,-0.26658500256631296,-0.08926796506682544
stitched,scorer_effect_under_softmax,MLP-Softmax,FM-Softmax,-0.022589089873504713,-0.011263924154007565,-0.022371657850374316,-0.12738470302380514,0.04041250715101807,0.029246005419126128,0.01110773369636675,-19.17044621134096,0.0057578247905472205,0.0530101756198565,-0.022371657850374316,-0.025636565249791583,-0.22542541016181109,-0.06289226705642992
2022,allocator_effect_on_factor_mean,FM-Softmax,FM-Top20,0.0,0.004259471165895756,0.01760135392707407,0.14614066427098155,0.002523051031590451,-0.03965981400046589,-0.013341882761178314,213.37609863965218,-0.0027872458787924683,-2.8077838983243605e-05,0.01760135392707407,-0.0238262732535987,1.0726258466034513,-0.043263724088950184
2022,scorer_effect_under_top20,MLP-Top20,FM-Top20,-0.024246246680158623,0.009339985419264285,0.005001516797751959,0.1259781478596198,0.04666055629931398,0.012008115055654231,0.004338468621512326,0.0,0.0,0.0,0.005001516797751959,-0.01542834736801426,0.5127874529554031,0.004862457065317072
2022,scorer_effect_under_softmax,MLP-Softmax,FM-Softmax,-0.024246246680158623,-0.0028343985348550094,-0.002902816593755131,0.008629717469807785,0.017756166798983175,0.0003332300729213672,6.841805890012154e-05,2.782930727048665,0.0039803251308053855,0.010783534019404482,-0.002902816593755131,-0.015023830321923712,1.0437167462431902,0.004020694515990519
2023,allocator_effect_on_factor_mean,FM-Softmax,FM-Top20,0.0,-0.01897899328223973,-0.002303984834909567,-0.024912538599026313,-0.01350423419519664,-0.04441220608788036,-0.016675008447330164,222.66545554451426,-0.002821733373116992,-0.0006898949245120155,-0.002303984834909567,-0.01500591900308014,0.4710813510746319,-0.011106701372875616
2023,scorer_effect_under_top20,MLP-Top20,FM-Top20,-0.053082851814505734,-0.06920187203151684,-0.08390651530719018,-0.6155120757567358,0.050358870438072634,0.050118849512192545,0.014704643275673335,0.0,0.0,0.0,-0.08390651530719018,0.011335646191925411,-1.6543811065002698,0.02121409674053698
2023,scorer_effect_under_softmax,MLP-Softmax,FM-Softmax,-0.053082851814505734,-0.028649761336679846,-0.0417130456312198,-0.3348439948336796,0.031661191181682646,0.03840682492692168,0.013063284294539956,-65.25499259767378,0.007318314949665771,0.018475168748739217,-0.0417130456312198,0.0027080370475620827,-1.249792057652571,-0.003036838913954787
2024,allocator_effect_on_factor_mean,FM-Softmax,FM-Top20,0.0,-0.024410041023167572,-0.0004115364244177133,-0.0024070219097888645,0.0030453166800149534,-0.05897895096346647,-0.02399850459874986,233.25775800010183,-0.0031120517932794693,-0.0004569902859840238,-0.0004115364244177133,-0.037626818177786715,0.11625968501526923,-0.048935711905422785
2024,scorer_effect_under_top20,MLP-Top20,FM-Top20,-0.022166523684418904,-0.04693572371701871,-0.06330460972686214,-0.22371001277255279,0.026589961378548077,0.048185666782151554,0.01636888600984343,0.0,0.0,0.0,-0.06330460972686214,-0.025632314493170757,-0.6953406664758812,-0.03129715682531975
2024,scorer_effect_under_softmax,MLP-Softmax,FM-Softmax,-0.022166523684418904,-0.026935106128334274,-0.0340141961915994,-0.1254945892019926,0.009129996564665399,0.019525539278419844,0.0070790900632651255,2.8507391889604605,0.0023503541049862426,0.006856278277756856,-0.0340141961915994,-0.013666660436968861,-0.5615840541934463,-0.008166454010136048
