period,date_count,spearman_score_correlation_mean,spearman_score_correlation_median,spearman_score_correlation_p10,spearman_score_correlation_p90,pearson_zscore_correlation_mean,pearson_zscore_correlation_median,pearson_zscore_correlation_p10,pearson_zscore_correlation_p90
stitched,1130,0.5667717612785915,0.5893135130235766,0.33261698004138995,0.7705832972343936,0.6912433224289103,0.7390000769810361,0.463011353022511,0.8558060613814505
2022,242,0.5981961981819358,0.5877895725651898,0.526013994619961,0.6869116628368652,0.7381336784811353,0.7280163226589724,0.6826611825400178,0.8035877179741093
2023,242,0.37347110966488706,0.36608861095685347,0.2962221652154224,0.45495586142344563,0.5297293987001406,0.5196236781621579,0.4436323083513608,0.6493519881459058
2024,242,0.64231656340333,0.6358261889639423,0.566381871743428,0.736056199945338,0.8073278521417984,0.806146493060608,0.7563089583292576,0.8601175092193916
2025,243,0.7521961901122025,0.7542625370501482,0.6551184553336211,0.8387966972976325,0.8311999266361109,0.837679626253712,0.7725808029718334,0.8847099535219544
2026 YTD,161,0.41667279009320696,0.41638689412789975,0.2678133654523903,0.5679104748975783,0.47780849239695455,0.4840002366491652,0.3197874694430289,0.6266175525274862
