score_type,allocator_type,strategy,rankic,annual_return_0p0bps,sharpe_0p0bps,annual_return_7p5bps,sharpe_7p5bps,mdd_7p5bps,turnover_mean,transaction_cost_drag_annual,effective_n,max_weight_mean,max_weight_absolute,normalized_entropy_mean,annual_excess_return,tracking_error,information_ratio,active_mdd
Factor Mean,Softmax T=1,FM-Softmax,0.05077287957280952,0.05491229990905366,0.3972673376029944,0.037923206872180204,0.3023956533370078,0.28129903298714565,0.042967476129458504,0.01698909303687346,319.09533771008273,0.007102954680819407,0.01246739419156575,0.9546413404190711,0.025515807385591227,0.08286825240606537,0.24887716791294529,0.2661816952750744
Factor Mean,Top20 EW,FM-Top20,0.05077287957280952,0.05845782863451565,0.4224855006366037,0.023157638622979926,0.21983723913339176,0.3039231637607318,0.0897660561286964,0.035300190011535726,99.74070796460177,0.010036555410579356,0.017857142857142856,1.0,0.010750239136390949,0.11393784268540388,0.049756010403747934,0.34618380255359193
MLP,Softmax T=1,MLP-Softmax,0.02818378969930481,0.0436483757550461,0.32215710876271303,0.015551549021805888,0.17501095031320266,0.3217115401381637,0.07221348154858463,0.02809682673324021,299.9248914987418,0.012860779471366627,0.06547756981142225,0.9527135201451633,0.0031441495352169113,0.05723168715627378,0.02345175775113421,0.20328942821864449
MLP,Top20 EW,MLP-Top20,0.02818378969930481,0.05178646145146004,0.3554403909715306,-0.004104767796417552,0.07487424233290144,0.3751165478411559,0.14447376401855533,0.055891229247877594,99.74070796460177,0.010036555410579356,0.017857142857142856,1.0,-0.01651216728300653,0.07629937857432245,-0.21682899216256504,0.2569158374867665
