period,score_type,decile,mean_execution_return,d10_minus_d1,d10_minus_d5,monotonicity_spearman,non_decreasing_adjacent_fraction,date_count
stitched,Factor Mean,1,-0.00042426985220638463,0.0007577182588826598,0.00017116166962871117,0.7818181818181817,0.5555555555555556,1130
stitched,Factor Mean,2,9.524877756461044e-05,0.0007577182588826598,0.00017116166962871117,0.7818181818181817,0.5555555555555556,1130
stitched,Factor Mean,3,8.799286504616402e-05,0.0007577182588826598,0.00017116166962871117,0.7818181818181817,0.5555555555555556,1130
stitched,Factor Mean,4,0.0001568334546758339,0.0007577182588826598,0.00017116166962871117,0.7818181818181817,0.5555555555555556,1130
stitched,Factor Mean,5,0.00016228673704756402,0.0007577182588826598,0.00017116166962871117,0.7818181818181817,0.5555555555555556,1130
stitched,Factor Mean,6,0.00036213324261961884,0.0007577182588826598,0.00017116166962871117,0.7818181818181817,0.5555555555555556,1130
stitched,Factor Mean,7,0.00035433065616128934,0.0007577182588826598,0.00017116166962871117,0.7818181818181817,0.5555555555555556,1130
stitched,Factor Mean,8,0.0002581246443192263,0.0007577182588826598,0.00017116166962871117,0.7818181818181817,0.5555555555555556,1130
stitched,Factor Mean,9,0.00022878158725655133,0.0007577182588826598,0.00017116166962871117,0.7818181818181817,0.5555555555555556,1130
stitched,Factor Mean,10,0.0003334484066762752,0.0007577182588826598,0.00017116166962871117,0.7818181818181817,0.5555555555555556,1130
2022,Factor Mean,1,-0.001772027185372266,0.0015977595358306813,0.00018406236358364578,0.7454545454545454,0.7777777777777778,242
2022,Factor Mean,2,-0.0008952357470577249,0.0015977595358306813,0.00018406236358364578,0.7454545454545454,0.7777777777777778,242
2022,Factor Mean,3,-0.0007152491606773742,0.0015977595358306813,0.00018406236358364578,0.7454545454545454,0.7777777777777778,242
2022,Factor Mean,4,-0.00034273573303702837,0.0015977595358306813,0.00018406236358364578,0.7454545454545454,0.7777777777777778,242
2022,Factor Mean,5,-0.00035833001312523036,0.0015977595358306813,0.00018406236358364578,0.7454545454545454,0.7777777777777778,242
2022,Factor Mean,6,-0.00031372306706816484,0.0015977595358306813,0.00018406236358364578,0.7454545454545454,0.7777777777777778,242
2022,Factor Mean,7,-0.00011929640106866158,0.0015977595358306813,0.00018406236358364578,0.7454545454545454,0.7777777777777778,242
2022,Factor Mean,8,-7.084634498251347e-05,0.0015977595358306813,0.00018406236358364578,0.7454545454545454,0.7777777777777778,242
2022,Factor Mean,9,-0.00039895802736339517,0.0015977595358306813,0.00018406236358364578,0.7454545454545454,0.7777777777777778,242
