period,definition,interaction_annual_return_0p0bps,interaction_annual_return_7p5bps,interaction_sharpe_7p5bps,interaction_turnover_mean,interaction_transaction_cost_drag_annual,interaction_effective_n,interaction_information_ratio
stitched,(MLP-Softmax - MLP-Top20) - (FM-Softmax - FM-Top20),-0.004592556970951955,0.004890748569023162,0.017578293776685183,-0.025461702470732803,-0.009483305539975118,-19.17044621134096,0.0411595924045019
2022,(MLP-Softmax - MLP-Top20) - (FM-Softmax - FM-Top20),-0.012174383954119294,-0.00790433339150709,-0.11734843038981202,-0.011674884982732864,-0.004270050562612204,2.782930727048665,0.5309292932877872
2023,(MLP-Softmax - MLP-Top20) - (FM-Softmax - FM-Top20),0.040552110694836996,0.042193469675970374,0.2806680809230563,-0.011712024585270868,-0.0016413589811333784,-65.25499259767378,0.40458904884769886
2024,(MLP-Softmax - MLP-Top20) - (FM-Softmax - FM-Top20),0.020000617588684433,0.029290413535262738,0.09821542357056018,-0.02866012750373171,-0.009289795946578305,2.8507391889604605,0.13375661228243496
2025,(MLP-Softmax - MLP-Top20) - (FM-Softmax - FM-Top20),-0.025419414222737968,-0.007830409225831225,-0.008426673996907885,-0.03465475248185803,-0.017589004996906743,13.41987811827346,0.03493627691364809
2026 YTD,(MLP-Softmax - MLP-Top20) - (FM-Softmax - FM-Top20),-0.07548245286499145,-0.05272805802678293,-0.3027987460481689,-0.048169167499854566,-0.022754394838208514,-65.18804045088768,-0.5161886974290697
