period,score_type,allocator_type,strategy,start_date,end_date,decision_dates,rankic,annual_return_0p0bps,cumulative_return_0p0bps,sharpe_0p0bps,mdd_0p0bps,annual_return_5p0bps,cumulative_return_5p0bps,sharpe_5p0bps,mdd_5p0bps,annual_return_7p5bps,cumulative_return_7p5bps,sharpe_7p5bps,mdd_7p5bps,annual_return_10p0bps,cumulative_return_10p0bps,sharpe_10p0bps,mdd_10p0bps,turnover_mean,turnover_median,turnover_p95,transaction_cost_drag_annual,transaction_cost_drag_cumulative,effective_n,max_weight_mean,max_weight_absolute,normalized_entropy_mean,csi500_annual_return,annual_excess_return,tracking_error,information_ratio,active_mdd,active_win_rate,cumulative_active_return
2022,MLP,Top20 EW,MLP-Top20,2022-01-04,2022-12-30,242,0.03438720281165408,-0.07584092865337977,-0.0729439605604143,-0.3227484937988754,0.2931392628492351,-0.09730998309657901,-0.09363530751306914,-0.44712349852991284,0.2980997839359739,-0.107857534829778,-0.10380790622795377,-0.5093222798201239,0.3005671678798221,-0.11828235993489211,-0.11386683164651312,-0.5715283170258564,0.30302600645748,0.09325081880981614,0.08863921852415307,0.13595974814389822,0.03201660617639823,0.03385004722796327,99.7107438016529,0.010029217797812838,0.010101010101010102,1.0,-0.184135812187602,0.076278277357824,0.05384377142121962,1.684049011189854,0.0699537284230296,0.5165289256198347,0.08944857441931409
2023,MLP,Top20 EW,MLP-Top20,2023-01-03,2023-12-29,242,0.006656911456584882,-0.0698101048167763,-0.06713505098973616,-0.4935915713320585,0.16639738226575984,-0.10114329437145508,-0.09733180058114355,-0.7580057773804278,0.18966241740049428,-0.11641357832595978,-0.11206329658608738,-0.8902303154279153,0.20105149993762927,-0.1314255783844237,-0.12655547269165035,-1.0224619470095,0.21228129998567458,0.13592961437514534,0.12771288515386087,0.2038557767890818,0.04660347350918348,0.04934245001817776,99.97107438016529,0.010002921779781283,0.010101010101010102,0.9999999999999999,-0.09273446518181772,-0.02367911314414206,0.061541077171184684,-0.3880584645367306,0.06144510397303171,0.47520661157024796,-0.024449461315960597
2024,MLP,Top20 EW,MLP-Top20,2024-01-02,2024-12-31,242,0.024519959874263295,0.04246184525427443,0.04074299189708852,0.2840169912793497,0.21122624303897075,0.0034003010467746897,0.0032651484224131,0.1511930692050579,0.21398758922492644,-0.01558044899078026,-0.014966827726654475,0.08480027731458897,0.21536480790103063,-0.03420367228721466,-0.03286894365166959,0.018420657423860485,0.21673972849994627,0.15147375737173646,0.14646176715859738,0.20621036021475367,0.05804229424505469,0.054984973925940345,99.98760330578513,0.010001252191334834,0.010101010101010102,0.9999999999999999,0.028115234183516247,-0.04369568317429651,0.06995321828897388,-0.5241268887286733,0.07146016041628223,0.45041322314049587,-0.03685826953454685
2025,MLP,Top20 EW,MLP-Top20,2025-01-02,2025-12-31,243,0.0412508360243486,0.3367179417012536,0.3229345437420752,2.2388353072610356,0.08463205189761158,0.2874057269096191,0.2758423921402158,1.957612878410097,0.08680141597710178,0.26343310282631327,0.25292589567628854,1.816963440141339,0.08788430408633319,0.239904937801384,0.23041917303580606,1.676293392241883,0.08896599786896653,0.14931950305034739,0.143248386555204,0.21391242175368136,0.0732848388749403,0.05442695886185164,100.0,0.009999999999999998,0.01,0.9999999999999999,0.4222248486230431,-0.15879174579672983,0.08355022445940304,-1.477174528162718,0.14188993990569443,0.45267489711934156,-0.11520971956472181
2026 YTD,MLP,Top20 EW,MLP-Top20,2026-01-05,2026-09-01,161,0.03700138673175268,0.08454553481255767,0.05322078649238926,0.5264108125534716,0.13626953397116437,0.02700790284442567,0.017171920962886,0.23592486588786507,0.14453122951160413,-0.0006109291904684566,-0.00039035893806627087,0.09048129997129782,0.14863305305327557,-0.027490287676245173,-0.01765152018014604,-0.05508947009445438,0.1527156452696391,0.21647453406839867,0.20422081785749135,0.3724862670315118,0.08515646400302612,0.05227859997751827,98.67701863354037,0.010206377676235183,0.017857142857142856,1.0,-0.03397887397384747,0.03336794478337901,0.11301015972250063,0.22009980309812313,0.13039161645449626,0.4658385093167702,0.011893910665360385
stitched,MLP,Softmax T=1,MLP-Softmax,2022-01-04,2026-09-01,1130,0.02818378969930481,0.0436483757550461,0.21115407808091669,0.32215710876271303,0.2929863470624039,0.02483252905996758,0.11626925828898438,0.22406456200565086,0.3103386583640688,0.015551549021805888,0.07164883865590377,0.17501095031320266,0.3217115401381637,0.006354187251891297,0.028810046075743445,0.12595301777167178,0.33544105793130286,0.07221348154858463,0.06350013585516456,0.12965898287948752,0.02809682673324021,0.12240185122485094,299.9248914987418,0.012860779471366627,0.06547756981142225,0.9527135201451633,0.012407399486588977,0.0031441495352169113,0.05723168715627378,0.02345175775113421,0.20328942821864449,0.4902654867256637,-0.0013117291015117827
2022,MLP,Softmax T=1,MLP-Softmax,2022-01-04,2022-12-30,242,0.03438720281165408,-0.08375584144160331,-0.08056991539768976,-0.3928714793676756,0.27105659247926595,-0.09338419098026729,-0.08985027997890938,-0.4513075555512345,0.27314422450624287,-0.09816051429421102,-0.09445542776185534,-0.4805300459389544,0.2741858294110817,-0.10291177900717796,-0.0990373753443492,-0.5097554843956653,0.27522596297920365,0.04191611982661739,0.040737384699010545,0.04989997408177136,0.014404672852607714,0.01521555149706211,315.86977316835373,0.011222297049825756,0.02085646628143134,0.957857665897182,-0.184135812187602,0.08597529789339098,0.03042201521371147,3.2876041510810925,0.025848241784752868,0.5578512396694215,0.10030098717742875
2023,MLP,Softmax T=1,MLP-Softmax,2023-01-03,2023-12-29,242,0.006656911456584882,-0.04823698740417903,-0.04636791595545986,-0.3721340469962165,0.14790631258327425,-0.06718932050674464,-0.06461116921076127,-0.5470134489679339,0.16192604196750426,-0.07652409348489897,-0.07360208187224304,-0.6344747731038853,0.16884958648604265,-0.08576584999705483,-0.08250695785463469,-0.7219496176210949,0.17571621148571936,0.07980538370199411,0.07782878058451223,0.10902701580316973,0.028287106080719937,0.02896935428382386,257.3815373270058,0.014499503356330061,0.027886283925237305,0.9402485794288261,-0.09273446518181772,0.016210371696918746,0.037907549023741216,0.4876119353856001,0.026087466945664328,0.5041322314049587,0.01720652807408274
2024,MLP,Softmax T=1,MLP-Softmax,2024-01-02,2024-12-31,242,0.024519959874263295,0.03805242181979129,0.03651517219883771,0.2697369053744528,0.19358883184146214,0.021483756772967322,0.020622497141893126,0.21031678068191323,0.1985037959863245,0.013298428120064765,0.012767358492872694,0.1806086789753603,0.2009501597671629,0.0051784035063300315,0.004972401270997739,0.15090192880292394,0.20338914083024073,0.06383467890453828,0.062016895812110215,0.07864568210590339,0.02475399369972653,0.023171988442347392,336.0961004948474,0.009239554503041607,0.016500298092782934,0.9623161229307984,0.028115234183516247,-0.014816806063451482,0.044292054167389065,-0.2741105914309691,0.04565515132604314,0.4628099173553719,-0.012521090843412241
2025,MLP,Softmax T=1,MLP-Softmax,2025-01-02,2025-12-31,243,0.0412508360243486,0.3500239134586709,0.3356307499992075,2.2552342924800612,0.09984922769963156,0.3284564076670349,0.31504933781767086,2.137783549163812,0.10072114391962639,0.31780165963775353,0.3048773454834677,2.0790594041754193,0.10115680841519936,0.307232003607695,0.2947836871726168,2.0203363309594877,0.10159227727580344,0.06397510642266836,0.06039907904780156,0.08772018416701739,0.03222225382091737,0.023318926291062622,335.6649693827172,0.00879540360638165,0.023998359654540686,0.9604064231987647,0.4222248486230431,-0.10442318898528957,0.06112057046945229,-1.320691069275562,0.09474450911687471,0.4567901234567901,-0.07656182904547781
2026 YTD,MLP,Softmax T=1,MLP-Softmax,2026-01-05,2026-09-01,161,0.03700138673175268,-0.0034619551037678997,-0.002213189369935975,0.07212511145860544,0.15424495594280452,-0.03589657477133623,-0.023085038414878745,-0.10984137075751124,0.15907529310538893,-0.05171772938281105,-0.03335789403420475,-0.20091012251760823,0.16148032566024928,-0.06728049566148586,-0.043523536972739585,-0.29203327518754785,0.1657498461839444,0.13137072757993767,0.11678377305043904,0.21468123350441085,0.04825577427904315,0.03172603071055495,231.59295884439666,0.024439439989240825,0.06547756981142225,0.9376726944632783,-0.03397887397384747,-0.017738855408963583,0.10366419936215528,-0.27602639328443407,0.13800839678266597,0.45962732919254656,-0.02147109930912039
