period,mean_top20_overlap,median_top20_overlap,mean_intersection_count,mean_fm_only_count,mean_mlp_only_count,date_count
stitched,0.19645141450765627,0.19047619047619047,31.985840707964602,67.75486725663717,67.75486725663717,1130
2022,0.16099568990637228,0.1511627906976744,27.276859504132233,72.43388429752066,72.43388429752066,242
2023,0.11091988911037949,0.1111111111111111,19.830578512396695,80.14049586776859,80.14049586776859,242
2024,0.23203698096577094,0.21951219512195122,37.45867768595041,62.52892561983471,62.52892561983471,242
2025,0.2904319057781738,0.2903225806451613,44.522633744855966,55.477366255144034,55.477366255144034,243
2026 YTD,0.1829728308930735,0.17647058823529413,30.18633540372671,68.49068322981367,68.49068322981367,161
